Data File,Category,Sub-Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY,Dataset Type
C96_ERA5_forcing_2020-10-21.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-24.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-11.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-20.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-07.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-03.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-13.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-07.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-16.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-23.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-27.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-02.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-17.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-31.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-07.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-26.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-19.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-07.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-09.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-01.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-18.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-15.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-02.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-02.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-19.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-13.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-11.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-06.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-03.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-11.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-28.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-02.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-24.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-10.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-16.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-30.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-02.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-27.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-07.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-19.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-26.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-15.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-26.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-25.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-01.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-09.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-11.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-20.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-06.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-05.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-16.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-22.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-03.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-08.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-15.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-16.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-02.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-13.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-19.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-15.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-21.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-21.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-22.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-16.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-01.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-08.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-04.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-29.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-13.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-24.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-25.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-10.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-14.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-01.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-04.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-08.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-10.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-31.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-20.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-18.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-06.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-08.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-17.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-21.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-16.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-13.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-04.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-22.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-20.nc,forcing,datm,96,,.nc,12313780,,era5
