Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Sub-Category 1,Sub-Category 2,Sub-Category 3
C96_ERA5_forcing_2020-12-30.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-07-20.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-20.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-20.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-29.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-06.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-23.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-30.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-14.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-11.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-20.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2019-12-29.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-08-19.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-18.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-23.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-03-28.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-25.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-26.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-09-01.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-31.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-19.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-08-10.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-24.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-03-14.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2019-12-20.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-27.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-07-23.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-28.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-04.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-23.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-09-19.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-27.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-24.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2019-12-15.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-14.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2019-12-14.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-10.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-21.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-22.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-07-30.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-06.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-11.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-02.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-14.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-11.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-05.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-26.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-09-24.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-04.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-08-16.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-07.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-03-13.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-07-13.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-07-29.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-08-12.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-22.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-18.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-12.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-06.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-01.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-08.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-02.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-09.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-16.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-10.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-13.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-11.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-03-30.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-07-11.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-09-25.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-02.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-08-28.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-21.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-26.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-01.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-25.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-21.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-08.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-27.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-27.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-21.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-14.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-31.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-22.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-05.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-15.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-03.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-14.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-28.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-09.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-09-10.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
