Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version (YYYY),Sub-Category 1,Sub-Category 2,Sub-Category 3
ne_110m_admin_0_countries_lakes.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_110m_admin_0_pacific_groupings.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_10m_railroads.dbf,inputs,shapefiles,,,.dbf,4676409,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_land.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_110m_admin_0_sovereignty.shx,inputs,shapefiles,,,.shx,1468,,NaturalEarth,natural_earth,
ne_10m_railroads.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_110m_admin_1_states_provinces_lakes.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_10m_admin_0_antarctic_claim_limit_lines.shx,inputs,shapefiles,,,.shx,284,,NaturalEarth,natural_earth,
ne_10m_parks_and_protected_lands_scale_rank.README.html,inputs,shapefiles,,,.html,26630,,NaturalEarth,natural_earth,
ne_110m_admin_1_states_provinces_scale_rank.shp,inputs,shapefiles,,,.shp,40844,,NaturalEarth,natural_earth,
ne_10m_admin_1_label_points.shp,inputs,shapefiles,,,.shp,316052,,NaturalEarth,natural_earth,
ne_10m_admin_0_disputed_areas.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_110m_admin_0_pacific_groupings.dbf,inputs,shapefiles,,,.dbf,2763,,NaturalEarth,natural_earth,
ne_50m_admin_0_map_units.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_50m_admin_0_tiny_countries_scale_rank.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_110m_populated_places.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_admin_1_seams.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_10m_populated_places_simple.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
